Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
媠,媠,tuǒ,noạ
媢,媢,mào,mạo
媧,娲,wā,oa
媩,媩,hú,hồ
婿,婿,xù,tế
媄,媄,měi,mẹ
媅,媅,dān,đam
媍,媍,fù,phụ
媎,媎,jiě,chửa
媏,媏,duān,đoan
媔,媔,mián,miên
媕,媕,ān,an
嫲,嫲,ma,ma
嫵,妩,wǔ,vũ
嫺,娴,xián,nhàn
嫻,娴,xián,nhàn
嫽,嫽,liáo,liêu
嫿,婳,huà,hoạ
嬀,妫,guī,quy
嬃,媭,xū,tu
嫣,嫣,yān,yên
嫦,嫦,cháng,thường
嫪,嫪,lào,liệu
嫫,嫫,mó,mô
嫭,嫭,hù,hộ
嫮,嫮,hù,hộ
嫰,嫰,nèn,non
嫱,嫱,qiáng,tường
嫘,嫘,léi,luy
嫙,嫙,xuán,tuyền
嫚,嫚,mān,mạn
嫛,嫛,yī,y
嫜,嫜,zhāng,chương
嫟,嫟,nì,nật
嫠,嫠,lí,ly
嫡,嫡,dí,đích
嫈,嫈,yīng,oanh
嫉,嫉,jí,tật
嫋,袅,niǎo,niệu
嫌,嫌,xián,hiềm
嫏,嫏,láng,lang
嫒,嫒,ài,ái
嫔,嫔,pín,tần
嫕,嫕,yì,ế
孄,孄,lǎn,lãn
孅,孅,xiān,tiêm
孌,娈,luán,luyến
孏,孏,lǎn,lãn
孑,孑,jié,kiết
孓,孓,jué,quyết
孔,孔,kǒng,khổng
孕,孕,yùn,dựng
嬬,嬬,rú,nhu
嬰,婴,yīng,anh
嬴,嬴,yíng,doanh
嬶,嬶,bí,bị
嬾,嬾,lǎn,lãn
嬿,嬿,yàn,yến
孀,孀,shuāng,sương
孃,娘,niáng,nương
嬖,嬖,bì,bế
嬗,嬗,shàn,thiện
嬙,嫱,qiáng,tường
嬝,嬝,niǎo,niệu
嬡,嫒,ài,ái
嬢,嬢,niáng,nương
嬤,嬷,mā,ma
嬪,嫔,pín,tần
嬅,嬅,huà,thoại
嬉,嬉,xī,hi
嬋,婵,chán,thiền
嬌,娇,jiāo,kiều
嬍,嬍,měi,mĩ
嬎,嬎,fàn,phiến
嬓,嬓,jiào,khiếu
嬔,嬔,fù,phiến
宀,宀,mián,miên
宁,宁,níng,trữ
宂,宂,rǒng,nhũng
宄,宄,guǐ,quĩ
宅,宅,zhái,trạch
宇,宇,yǔ,vũ
安,安,ān,an
宊,宊,tū,gia
孳,孳,zī,tư
孵,孵,fū,phu
學,学,xué,học
孻,𡥧,nái,nai
孼,孼,niè,nghiệt
孽,孽,niè,nghiệt
孾,孾,yīng,anh
孿,孪,luán,loan
学,学,xué,hạc
孨,孨,zhuǎn,chuyển
孩,孩,hái,hài
孪,孪,luán,loan
孬,孬,nāo,nạo
孭,孭,miē,mị
孰,孰,shú,thục
孱,孱,chán,sàn
孖,孖,mā,tư
字,字,zì,tự
存,存,cún,tồn
孚,孚,fú,phu
孜,孜,zī,tư
孝,孝,xiào,hiếu
孢,孢,bāo,bào
孤,孤,gū,cô
宮,宫,gōng,cung
宰,宰,zǎi,tể
宴,宴,yàn,yến
宵,宵,xiāo,tiêu
宸,宸,chén,thần
宼,宼,kòu,khấu
宽,宽,kuān,hoan
寀,采,cǎi,thái
室,室,shì,thất
宥,宥,yòu,hựu
宦,宦,huàn,hoạn
宧,宧,yí,di
宨,宨,tiǎo,điệu
宪,宪,xiàn,hiến
宫,宫,gōng,cung
宬,宬,chéng,thành
宜,宜,yí,nghi
宝,宝,bǎo,bảo
实,实,shí,thực
実,実,shí,thực
宠,宠,chǒng,trủng
审,审,shěn,thẩm
客,客,kè,khách
宣,宣,xuān,tuyên
宋,宋,sòng,tống
完,完,wán,hoàn
宍,宍,ròu,nhục
宏,宏,hóng,hoành
宕,宕,dàng,đãng
宗,宗,zōng,tông
官,官,guān,quan
宙,宙,zhòu,trụ
寥,寥,liáo,liêu
寨,寨,zhài,trại
審,审,shěn,thẩm
寪,寪,wěi,vĩ
寫,写,xiě,tả
寬,宽,kuān,khoan
寮,寮,liáo,liêu
寯,寯,jùn,tuấn
寛,寛,kuān,khoan
寝,寝,qǐn,tẩm
寞,寞,mò,mịch
察,察,chá,sát
寠,寠,jù,lũ
寡,寡,guǎ,quả
寢,寝,qǐn,tẩm
寤,寤,wù,ngụ
寐,寐,mèi,mị
寑,寑,qǐn,tẩm
寒,寒,hán,hàn
寓,寓,yù,ngụ
寕,寕,níng,ninh
寖,寖,jìn,tẩm
寘,寘,zhì,trí
寚,寚,bǎo,bảo
寁,寁,zǎn,toản
寂,寂,jì,tịch
寃,寃,yuān,oan
寅,寅,yín,dần
密,密,mì,mật
寇,寇,kòu,khấu
富,富,fù,phú
寎,寎,bìng,kính
尕,尕,gǎ,giả
尖,尖,jiān,tiêm
尗,尗,shū,thúc
尘,尘,chén,trần
尙,尙,shàng,thượng
尚,尚,shàng,chuộng
尝,尝,cháng,thường
尞,尞,liào,liêu
尊,尊,zūn,tôn
尋,寻,xún,tầm
尌,尌,shù,thụ
導,导,dǎo,đạo
小,小,xiǎo,tiểu
尒,尒,ěr,nhĩ
尓,尓,ěr,nhĩ
尔,尔,ěr,nể
寿,寿,shòu,thọ
尀,尀,pǒ,phả
封,封,fēng,phong
専,専,zhuān,chuyên
尃,尃,fū,phu
尅,尅,kè,khắc
将,将,jiāng,chương
專,专,zhuān,chuyên
寰,寰,huán,hoàn
寳,寳,bǎo,bảo
寵,宠,chǒng,sủng
寶,宝,bǎo,bảo
寸,寸,cùn,thốn
对,对,duì,đối
寺,寺,sì,tự
対,対,duì,đối
屄,屄,bī,bi
屆,届,jiè,giới
屇,屇,tián,điền
屉,屉,tì,thế
届,届,jiè,giới
屋,屋,wū,ốc
屌,屌,diǎo,điểu
屍,尸,shī,thi
尺,尺,chǐ,xích
尽,尽,jǐn,tận
尾,尾,wěi,vĩ
尿,尿,niào,niệu
局,局,jú,cục
屁,屁,pì,thí
层,层,céng,tằng
屃,屃,xì,ế
尫,尫,wāng,uông
尬,尬,gà,giới
尰,尰,zhǒng,thũng
就,就,jiù,tựu
尲,尲,gān,dam
尴,尴,gān,giam
尶,尶,gān,giam
尷,尴,gān,giam
尟,尟,xiǎn,tiển
尠,尠,xiǎn,tiển
尢,尢,wāng,uông
尣,尣,wāng,uông
尤,尤,yóu,vưu
尥,尥,liào,liệu
尩,尩,wāng,uông
尪,尪,wāng,uông
屹,屹,yì,ngật
屺,屺,qǐ,dĩ
屼,屼,wù,ngột
岀,岀,chū,xuất
岅,岅,bǎn,phản
岈,岈,yá,ha
岊,岊,jié,tiết
岌,岌,jí,ngập
屨,屦,jù,lũ
屩,屩,juē,cược
屪,屪,liáo,liêu
屫,屫,jué,cước
屭,屭,xì,hí
屮,屮,chè,triệt
屰,屰,nì,dịch
屴,屴,lì,lực
屜,屉,tì,thế
屝,屝,fèi,phỉ
属,属,shǔ,thục
屟,屟,xiè,tiết
屢,屡,lǚ,lũ
履,履,lǚ,lý
屦,屦,jù,cứ
屧,屧,xiè,tiệp
屏,屏,píng,bình
屐,屐,jī,kịch
屑,屑,xiè,tiết
屓,屃,xiè,ế
展,展,zhǎn,triển
屖,屖,xī,tê
屘,屘,mǎn,mí
屙,屙,ē,a
峄,峄,yì,dịch
峇,峇,bā,khạp
峋,峋,xún,tuân
峒,峒,dòng,đồng
峙,峙,zhì,trĩ
峚,峚,mì,mật
峝,峝,tóng,đỗng
峞,峞,wéi,quỵ
岬,岬,jiǎ,giáp
岭,岭,lǐng,linh
岳,岳,yuè,nhạc
岹,岹,tiáo,thiều
岽,岽,dōng,đông
峁,峁,mǎo,mão
峂,峂,tóng,đồng
峃,峃,xué,hạc
岜,岜,bā,ba
岝,岝,zuò,trách
岞,岞,zuò,trách
岡,冈,gāng,cương
岢,岢,kě,khả
岨,岨,qū,thư
岩,岩,yán,nham
岫,岫,xiù,tụ
岍,岍,qiān,khiên
岐,岐,qí,kì
岑,岑,cén,sầm
岒,岒,qián,kiềm
岔,岔,chà,xóa
岙,岙,ào,áo
岚,岚,lán,lam
岛,岛,dǎo,đảo
崋,崋,huà,hoa
崌,崌,jū,cư
崍,崃,lái,lai
崎,崎,qí,khi
崐,崐,kūn,côn
崑,昆,kūn,côn
崒,崒,zú,chót
崓,崓,gù,cố
崀,崀,làng,lãng
崁,崁,kàn,khám
崃,崃,lái,lai
崄,崄,xiǎn,hiểm
崆,崆,kōng,không
崇,崇,chóng,sùng
崈,崈,chóng,sùng
崊,崊,lín,lờm
峭,峭,qiào,tiễu
峯,峰,fēng,phong
峰,峰,fēng,phong
峱,峱,náo,nạo
峴,岘,xiàn,hiện
島,岛,dǎo,đảo
峻,峻,jùn,tuấn
峿,峿,wú,ngô
峠,峠,qiǎ,ca
峤,峤,jiào,khiêu
峦,峦,luán,loan
峧,峧,jiāo,giao
峨,峨,é,nga
峩,峩,é,nga
峪,峪,yù,dục
峫,峫,xié,gia
嵆,嵆,jī,kê
嵇,嵇,jī,kê
嵊,嵊,shèng,thặng
嵋,嵋,méi,mi
嵌,嵌,qiàn,khảm
嵏,嵏,zōng,tông
嵐,岚,lán,lam
嵒,嵒,yán,nham
崳,崳,yú,du
崴,崴,wǎi,uy
崶,崶,fēng,phong
崽,崽,zǎi,tể
崾,崾,yào / yǎo,yểu
崿,崿,è,ngạc
嵁,嵁,kān,kham
嵂,嵂,lǜ,luật
崢,峥,zhēng,tranh
崤,崤,xiáo,hào
崦,崦,yān,yêm
崧,崧,sōng,tung
崩,崩,bēng,băng
崬,岽,dōng,đông
崮,崮,gù,cố
崱,崱,zè,trắc
崔,崔,cuī,thôi
崗,岗,gǎng,cương
崘,崘,lún,lôn
崚,崚,léng,lăng
崛,崛,jué,quật
崞,崞,guō,quách
崟,崟,yín,dần
崠,崠,dōng,đống
嶖,嶖,yān,yêm
嶗,崂,láo,lao
嶙,嶙,lín,lân
嶝,嶝,dèng,đặng
嶞,嶞,duò,đoạ
嶟,嶟,zūn,tôn
嶡,嶡,guì,quyết
嶢,峣,yáo,nghèo
嶅,嶅,áo,ngao
嶇,岖,qū,khu
嶋,嶋,dǎo,đảo
嶌,嶌,dǎo,đảo
嶍,嶍,xí,tập
嶒,嶒,céng,tằng
嶓,嶓,bō,ba
嶔,嵚,qīn,khâm
嵬,嵬,wéi,ngôi
嵯,嵯,cuó,tha
嵲,嵲,niè,nghiệt
嵺,嵺,liáo,lũ
嵼,嵼,chǎn,sản
嵾,㟥,cēn,sâm
嶁,嵝,lǒu,lũ
嶂,嶂,zhàng,chướng
嵓,嵓,yán,nham
嵖,嵖,chá,tra
嵗,岁,suì,tuế
嵙,嵙,kē,khoa
嵜,嵜,qí,khi
嵦,嵦,kǎi,khải
嵩,嵩,sōng,tung
嵫,嵫,zī,tư
巓,巓,diān,điên
巔,巅,diān,điên
巖,岩,yán,nham
巗,巗,yán,nham
巘,𪩘,yǎn,nghiễn
巛,巛,chuān,xuyên
巜,巜,kuài,quái
川,川,chuān,xuyên
巅,巅,diān,điên
巆,巆,róng,vanh
巇,巇,xī,hi
巉,巉,chán,sàm
巌,巌,yán,nham
巍,巍,wēi,nguy
巎,巎,náo,nao
巒,峦,luán,loan
嶲,嶲,xī,tây
嶴,嶴,ào,áo
嶸,嵘,róng,vanh
嶺,岭,lǐng,lĩnh
嶼,屿,yǔ,tự
嶽,岳,yuè,nhạc
巂,巂,guī,huề
巃,巃,lóng,lung
嶧,峄,yì,dịch
嶨,峃,xué,hạc
嶩,嶩,náo,nao
嶪,嶪,yè,nghiệp
嶫,嶫,yè,nghiệp
嶭,嶭,niè,nghiệt
嶮,崄,xiǎn,hiểm
嶰,嶰,xiè,giải
帀,帀,zā,táp
市,市,shì,thị
布,布,bù,bố
帄,帄,dīng,đinh
帊,帊,pà,phạ
帋,帋,zhǐ,chỉ
帐,帐,zhàng,trướng
帒,帒,dài,đẫy
巴,巴,bā,ba
巵,巵,zhī,chi
巷,巷,xiàng,hạng
巹,卺,jǐn,cẩn
巻,巻,juàn,quyển
巼,巼,bā,ba
巾,巾,jīn,cân
巿,巿,fú,phất
巩,巩,gǒng,củng
巪,巪,jù,cự
巫,巫,wū,vu
巭,巭,pu,cung
巯,巯,qiú,cầu
巰,巯,qiú,cầu
已,已,yǐ,dĩ
巳,巳,sì,tị
州,州,zhōu,châu
巟,巟,huāng,hoang
巠,巠,jīng,kinh
巡,巡,xún,tuần
巢,巢,cháo,sào
巣,巣,cháo,sào
工,工,gōng,công
巧,巧,qiǎo,xảo
帺,帺,qí,kì
帿,帿,hóu,hầu
幂,幂,mì,mịch
幃,帏,wéi,vi
幄,幄,wò,ác
幇,幇,bāng,bang
幈,幈,píng,bình
幋,幋,pán,bàn
帯,帯,dài,đới
帰,帰,guī,quy
帲,帲,píng,bình
帳,帐,zhàng,trướng
帵,帵,wān,oan
帷,帷,wéi,duy
常,常,cháng,thường
帹,帹,shà,thiếp
帡,帡,píng,bình
帢,帢,qià,kháp
帣,帣,juǎn,quyến
帧,帧,zhēn,chứng
帨,帨,shuì,thuế
師,师,shī,sư
帬,帬,qún,quần
席,席,xí,tịch
帓,帓,mò,mạt
帔,帔,pèi,bí
帖,帖,tiē,thiếp
帗,帗,bō,phạt
帘,帘,lián,liêm
帚,帚,zhǒu,trửu
帛,帛,bó,bạch
帟,帟,yì,diệc
幺,幺,yāo,yêu
幼,幼,yòu,ấu
幽,幽,yōu,u
庀,庀,pǐ,phỉ
庁,庁,tīng,sảnh
庅,庅,mó,ma
庆,庆,qìng,khánh
庇,庇,bì,tí
幪,幪,méng,mông
幫,帮,bāng,bang
幮,幮,chú,trù
幰,幰,xiǎn,hiển
干,干,gàn,can
幵,幵,jiān,kiên
并,并,bìng,tinh
幸,幸,xìng,hạnh
幚,幚,bāng,bang
幞,幞,fú,phốc
幟,帜,zhì,xí
幠,幠,hū,hu
幦,幦,mì,mịch
幧,幧,qiāo,thiêu
幨,幨,chān,xiêm
幩,幩,fén,phần
幌,幌,huǎng,hoảng
幍,幍,tāo,thao
幎,幎,mì,mịch
幏,幏,jià,giá
幑,幑,huī,huy
幗,帼,guó,quắc
幘,帻,zé,trách
幙,幙,mù,mạc
庿,庿,miào,miếu
廀,廀,sōu,sưu
廄,厩,jiù,cứu
廆,廆,wěi,hối
廉,廉,lián,liêm
廊,廊,láng,lang
廋,廋,sōu,sưu
廎,庼,qǐng,khoảnh
庶,庶,shù,thứ
康,康,kāng,khang
庸,庸,yōng,dong
庹,庹,tuǒ,thoả
庻,庻,shù,thú
庼,庼,qǐng,khoảnh
庽,庽,yù,ngụ
庾,庾,yǔ,dữu
庚,庚,gēng,canh
府,府,fǔ,phủ
庞,庞,páng,bàng
庠,庠,xiáng,tường
庤,庤,zhì,chí
庥,庥,xiū,hưu
庬,庬,máng,mang
庵,庵,ān,am
庈,庈,qín,cầm
床,床,chuáng,sàng
庑,庑,wǔ,vũ
应,应,yīng,ưng
底,底,dǐ,để
庖,庖,páo,bào
店,店,diàn,điếm
庙,庙,miào,miếu
廼,廼,nǎi,nãi
廽,廽,huí,hồi
开,开,kāi,khai
异,异,yì,di
弄,弄,nòng,lộng
弆,弆,jǔ,khí
弇,弇,yǎn,yểm
弈,弈,yì,dịch
廰,廰,tīng,thính
廱,廱,yōng,ung
廴,廴,yǐn,dẫn
廵,廵,xún,tuần
廷,廷,tíng,đình
廸,廸,dí,địch
廹,廹,pǎi,bách
廻,廻,huí,hồi
廟,庙,miào,miếu
廠,厂,chǎng,xưởng
廢,废,fèi,phế
廥,廥,kuài,quái
廧,廧,qiáng,tường
廩,廪,lǐn,lẫm
廪,廪,lǐn,lẫm
廬,庐,lú,lư
廏,廏,jiù,cứu
廐,廐,jiù,cứu
廒,廒,áo,ngao
廔,廔,lóu,lưu
廕,荫,yìn,ấm
廙,廙,yì,dị
廝,厮,sī,tư
廞,𫷷,xīn,hân
弯,弯,wān,loan
弰,弰,shāo,sao
弱,弱,ruò,nhược
弳,弪,jìng,kính
弴,弴,diāo,điêu
弶,弶,jiàng,cương
強,强,qiáng,càng
弸,弸,péng,bằng
弤,弤,dǐ,để
弥,弥,mí,di
弦,弦,xián,huyền
弨,弨,chāo,siêu
弪,弪,jìng,kính
弫,弫,zhěn,chẩn
弭,弭,mǐ,nhị
弮,弮,quān,khuyên
弖,弖,hù,cung
弗,弗,fú,phất
弘,弘,hóng,hoằng
弛,弛,chí,thỉ
弝,弝,bà,bá
张,张,zhāng,chương
弢,弢,tāo,thao
弣,弣,fǔ,phủ
弋,弋,yì,dặc
弌,弌,yī,nhất
弍,弍,èr,nhị
弎,弎,sān,tam
式,式,shì,thức
弑,弑,shì,thí
弒,弑,shì,thí
弓,弓,gōng,cung
彥,彦,yàn,ngạn
彧,彧,yù,úc
彪,彪,biāo,bưu
彫,雕,diāo,điêu
彯,彯,piāo,phiêu
彰,彰,zhāng,chương
影,影,yǐng,ảnh
彲,彨,chī,si
彗,彗,huì,tuệ
彘,彘,zhì,trệ
彛,彛,yí,di
彞,彞,yí,di
彟,彟,yuē,hoạch
彠,彟,yuē,hoạch
形,形,xíng,hình
彤,彤,tóng,đồng
彌,弥,mí,di
彍,彍,guō,khoắc
彎,弯,wān,loan
彑,彑,jì,kệ
当,当,dāng,đang
彔,录,lù,lục
录,录,lù,lục
彖,彖,tuàn,thoán
强,强,qiáng,cường
弻,弻,bì,bật
弼,弼,bì,bặt
弾,弾,dàn,đạn
彀,彀,gòu,cấu
彃,彃,bì,tất
彄,𫸩,kōu,khu
彆,别,biè,biệt
徜,徜,cháng,thảng
徤,徤,jiàn,kiện
徧,徧,biàn,biến
徨,徨,huáng,hoàng
循,循,xún,tuần
徭,徭,yáo,dao
微,微,wēi,vi
徳,徳,dé,đức
律,律,lǜ,luật
徑,径,jìng,kính
徒,徒,tú,đồ
従,従,cóng,tòng
徕,徕,lái,lai
得,得,dé,đắc
徘,徘,pái,bồi
徙,徙,xǐ,tỉ
往,往,wǎng,vãng
征,征,zhēng,chinh
徃,徃,wǎng,vãng
径,径,jìng,kính
待,待,dài,đãi
很,很,hěn,ngận
徉,徉,yáng,dương
徊,徊,huái,hồi
彳,彳,chì,sách
彴,彴,zhuó,chước
彸,彸,zhōng,chung
役,役,yì,dịch
彻,彻,chè,triệt
彼,彼,bǐ,bỉ
彽,彽,dī,đê
彾,彾,líng,lĩnh
忤,忤,wǔ,ngỗ
忩,忩,cōng,thông
忪,忪,sōng,chung
快,快,kuài,khoái
忭,忭,biàn,biện
忮,忮,zhì,kĩ
忱,忱,chén,thầm
忲,忲,tài,thái
忕,忕,shì,thệ
志,志,zhì,chí
忘,忘,wàng,vong
忙,忙,máng,mang
応,応,yīng,ưng
忞,忞,mín,mân
忠,忠,zhōng,trung
忡,忡,chōng,sung
忇,忇,lè,sực
忋,忋,gǎi,cải
忍,忍,rěn,nhẫn
忏,忏,chàn,thin
忐,忐,tǎn,thảm
忑,忑,tè,thắc
忒,忒,tè,thắc
忓,忓,gān,can
德,德,dé,đức
徹,彻,chè,triệt
徽,徽,huī,huy
忂,忂,qú,cù
心,心,xīn,tâm
忄,忄,xin,tâm
必,必,bì,tất
忆,忆,yì,hắt
怗,怗,tiē,thiếp
怙,怙,hù,hỗ
怚,怚,jù,thư
怜,怜,lián,lanh
怞,怞,chóu,du
怠,怠,dài,đãi
怡,怡,yí,di
急,急,jí,cấp
怍,怍,zuò,tạc
怏,怏,yàng,ưởng
怐,怐,jù,khấu
怑,怑,bàn,bẳn
怒,怒,nù,nộ
怓,怓,náo,nao
怔,怔,zhēng,chinh
怕,怕,pà,phạ
忿,忿,fèn,phẫn
怀,怀,huái,hoài
态,态,tài,thái
怂,怂,sǒng,tủng
怃,怃,wǔ,vũ
怄,怄,òu,âu
怆,怆,chuàng,sáng
怊,怊,chāo,siêu
忴,忴,qián,linh
念,念,niàn,niệm
忷,忷,xiōng,hung
忸,忸,niǔ,nữu
忺,忺,xiān,hiêm
忻,忻,xīn,hãn
忼,忼,kāng,khảng
忽,忽,hū,hốt
恓,恓,xī,tây
恔,恔,jiǎo,hiệu
恕,恕,shù,thứ
恙,恙,yàng,dạng
恚,恚,huì,khuể
恛,恛,huí,hồi
恜,恜,chì,thức
恝,恝,jiá,kiết
恅,恅,lǎo,làu
恇,恇,kuāng,khuông
恉,恉,zhǐ,chỉ
恋,恋,liàn,luyến
恌,恌,tiāo,khiêu
恍,恍,huǎng,hoảng
恏,恏,hào,háo
恑,恑,guǐ,nguây
怶,怶,bì,bí
怹,怹,tān,than
怺,怺,yǒng,vắng
怿,怿,yì,dịch
恁,恁,nèn,nhẫm
恂,恂,xún,tuân
恃,恃,shì,thị
恄,恄,xì,ghét
性,性,xìng,tính
怨,怨,yuàn,oán
怪,怪,guài,quái
怭,怭,bì,tất
怯,怯,qiè,khiếp
怱,怱,cōng,thông
怲,怲,bǐng,biếng
怳,怳,huǎng,hoảng
悈,悈,jiè,giới
悊,悊,zhé,triết
悋,悋,lìn,lẫn
悌,悌,tì,đễ
悍,悍,hàn,hãn
悐,悐,tì,thích
悑,悑,bù,bỏ
悒,悒,yì,ấp
恹,恹,yān,yêm
恺,恺,kǎi,khải
恻,恻,cè,trắc
恿,恿,yǒng,dũng
悀,悀,yǒng,dũng
悃,悃,kǔn,khổn
悆,悆,yù,dự
悇,悇,tú,dơ
恩,恩,ēn,ân
恪,恪,kè,khác
恫,恫,dòng,đỗng
恬,恬,tián,điềm
恭,恭,gōng,cung
息,息,xī,tức
恰,恰,qià,kháp
恶,恶,è,ác
恟,恟,xiōng,hung
恠,恠,guài,quái
恡,恡,lìn,lận
恢,恢,huī,khôi
恤,恤,xù,tuất
恥,耻,chǐ,sỉ
恧,恧,nǜ,nục
恨,恨,hèn,hận
悻,悻,xìng,hãnh
悼,悼,dào,điệu
悽,凄,qī,thê
悾,悾,kōng,không
惀,惀,lún,luẩn
惄,惄,nì,nịch
情,情,qíng,tình
惆,惆,chóu,trù
悯,悯,mǐn,mẫn
悰,悰,cóng,tông
悱,悱,fěi,phỉ
悲,悲,bēi,bi
悳,悳,dé,đức
悵,怅,chàng,trướng
悷,悷,lì,lệ
悸,悸,jì,quý
悢,悢,liàng,lượng
患,患,huàn,hoạn
悤,悤,cōng,thông
悧,悧,lì,rượi
您,您,nín,nâm
悪,悪,è,ác
悫,悫,què,xác
悮,悮,wù,ngộ
悕,悕,xī,hy
悖,悖,bèi,bội
悗,悗,mán,mến
悚,悚,sǒng,tủng
悜,悜,chěng,chường
悞,悮,wù,ngộ
悟,悟,wù,ngộ
悠,悠,yōu,du
惭,惭,cán,sàm
惯,惯,guàn,quán
惰,惰,duò,nọa
惱,恼,nǎo,não
惲,恽,yùn,uẩn
想,想,xiǎng,tưởng
惶,惶,huáng,hoàng
惷,惷,chǔn,xuẩn
惠,惠,huì,huệ
惢,惢,suǒ,nhị
惥,惥,yǒng,dũng
惦,惦,diàn,điếm
惧,惧,jù,cự
惨,惨,cǎn,thảm
惪,惪,dé,đức
惫,惫,bèi,bị
惓,惓,quán,quyền
惔,惔,tán,đàm
惘,惘,wǎng,võng
惙,惙,chuò,chuyết
惚,惚,hū,hốt
惛,惛,hūn,hôn
惝,惝,chǎng,sượng
惟,惟,wéi,duy
惈,惈,guǒ,quả
惊,惊,jīng,kinh
惌,惌,yuān,uyên
惍,惍,jīn,căm
惎,惎,jì,kị
惏,惏,lán,lầm
惑,惑,huò,hoặc
惒,惒,hé,hoà
愫,愫,sù,tố
愭,愭,qí,kì
愮,愮,yáo,dao
愯,愯,sǒng,tủng
愳,愳,jù,cụ
愴,怆,chuàng,sảng
愷,恺,kǎi,khải
愼,愼,shèn,thận
愛,爱,ài,ái
感,感,gǎn,cảm
愠,愠,yùn,uấn
愢,愢,sāi,tai
愣,愣,lèng,lăng
愤,愤,fèn,phẫn
愧,愧,kuì,quý
愨,悫,què,xác
意,意,yì,ý
愐,愐,miǎn,giợn
愑,愑,yǒng,dũng
愓,愓,dàng,đãng
愕,愕,è,ngạc
愖,愖,chén,thầm
愙,愙,kè,khác
愚,愚,yú,ngu
惸,惸,qióng,quỳnh
惹,惹,rě,nhạ
惺,惺,xīng,tinh
惻,恻,cè,trắc
惼,惼,biǎn,bẽn
愁,愁,chóu,sầu
愍,愍,mǐn,mẫn
愎,愎,bì,phức
慥,慥,zào,tháo
慧,慧,huì,tuệ
慨,慨,kǎi,khái
慪,怄,òu,âu
慫,怂,sǒng,túng
慬,慬,qín,cỡn
慱,慱,tuán,đoàn
慷,慷,kāng,khảng
慕,慕,mù,mộ
慘,惨,cǎn,thảm
慙,慙,cán,tàm
慛,慛,cuī,thôi
慜,慜,mǐn,mẫn
慝,慝,tè,thắc
慞,慞,zhāng,chương
慢,慢,màn,mạn
慇,慇,yīn,ân
慈,慈,cí,từ
慉,慉,xù,súc
態,态,tài,thái
慌,慌,huāng,hoảng
慍,愠,yùn,uấn
慎,慎,shèn,thận
慓,慓,piāo,phiếu
愽,愽,bó,bác
愿,愿,yuàn,nguyện
慁,慁,hùn,hỗn
慂,慂,yǒng,dũng
慃,慃,yǎng,õng
慄,栗,lì,lật
慅,慅,sāo,tao
慆,慆,tāo,thao
憫,悯,mǐn,mẫn
憬,憬,jǐng,cảnh
憭,憭,liǎo,trêu
憯,憯,cǎn,thảm
憰,憰,jué,quyết
憲,宪,xiàn,hiến
憶,忆,yì,ức
憷,憷,chù,sở
憖,慭,yìn,ngận
憗,憗,yìn,ngận
憙,憙,xǐ,hí
憚,惮,dàn,dạn
憛,憛,tán,đạn
憝,憝,duì,đỗi
憩,憩,qì,khế
憪,憪,xián,hàn
憇,憇,qì,khế
憊,惫,bèi,bại
憋,憋,biē,biệt
憍,憍,jiāo,kiêu
憎,憎,zēng,tăng
憑,凭,píng,bằng
憒,愦,kuì,hội
憔,憔,qiáo,tiều
慺,㥪,lóu,lưu
慼,戚,qī,thích
慽,慽,qī,thích
慾,欲,yù,dục
慿,慿,píng,bằng
憀,憀,liáo,liêu
憂,忧,yōu,ưu
憃,憃,chōng,xuẩn
懢,懢,lán,nhàm
懣,懑,mèn,muộn
懤,㤽,chóu,trù
懧,懧,nuò,nạnh
懨,恹,yān,yêm
懫,懫,zhì,chí
懮,懮,yǒu,ưu
懰,懰,liú,lưu
懒,懒,lǎn,lãn
懓,懓,ài,áy
懔,懔,lǐn,lẫm
懕,懕,yān,yêm
懜,懜,měng,môm
懞,蒙,méng,mong
懟,怼,duì,đỗi
懠,懠,qí,tê
懅,懅,jù,cứ
懆,懆,cǎo,thảo
懈,懈,xiè,giải
懋,懋,mào,mậu
懌,怿,yì,dịch
懍,懔,lǐn,lẫm
懐,懐,huái,hoài
懑,懑,mèn,muộn
憸,憸,xiān,tiêm
憹,憹,náo,não
憺,憺,dàn,đảm
憾,憾,hàn,hám
懁,懁,xuān,huyên
懂,懂,dǒng,đổng
懃,懃,qín,cần
懄,懄,qín,cần
戒,戒,jiè,giới
戕,戕,qiāng,tường
或,或,huò,hoặc
戚,戚,qī,thích
戞,戞,jiá,kiết
戟,戟,jǐ,kích
戡,戡,kān,kham
戢,戢,jí,tập
戈,戈,gē,qua
戉,戉,yuè,việt
戊,戊,wù,mậu
戌,戌,xū,tuất
戍,戍,shù,thú
戎,戎,róng,nhung
成,成,chéng,thành
我,我,wǒ,ngã
懾,慑,shè,nhiếp
懿,懿,yì,ý
戀,恋,liàn,luyến
戁,戁,nǎn,nản
戄,戄,jué,quặc
戅,戅,gàng,tráng
戆,戆,gàng,táng
戇,戆,zhuàng,tráng
懱,懱,miè,miệt
懲,惩,chéng,trừng
懵,懵,měng,mộng
懷,怀,huái,hoài
懸,悬,xuán,huyền
懺,忏,chàn,sám
懼,惧,jù,cụ
懽,懽,huān,hoàn
扈,扈,hù,hỗ
扉,扉,fēi,phi
