Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
扯,扯,chě,xả / chải
扱,扱,xī,hấp / tráp / gắp
扳,扳,bān,ban / bản / bẳn
找,找,zhǎo,hoa / trảo / quơ
戳,戳,chuō,trạc / sác
戾,戾,lì,lệ / liệt
房,房,fáng,bàng / phòng
所,所,suǒ,sở / sỡ
扁,扁,biǎn,thiên / biển
扇,扇,shàn,thiên / phiến
扑,扑,pū,bốc / phốc
扒,扒,bā,bái / bắt
應,应,yīng,ưng / ứng
懊,懊,ào,áo / ảo
懥,懥,zhì,chí / sý
懦,懦,nuò,nhu / nhụa / nọa
懶,懒,lǎn,lại / lãn
戔,戋,jiān,tiên / tàn
戛,戛,jiá,kiết / giát
戲,戏,xì,huy / hô / hí
拭,拭,shì,thức / rị
拮,拮,jié,kiệt / cát / kiết / cất
拱,拱,gǒng,củng / cõng
拷,拷,kǎo,khảo / khỉu
拼,拼,pīn,bính / phanh
拾,拾,shí,thập / thiệp / kiệp
挂,挂,guà,quải / quẩy
挈,挈,qiè,khiết / khế
拖,拖,tuō,đà / tha
拗,拗,ào,áo / húc / ảo
拘,拘,jū,cù / câu
拙,拙,zhuō,chuyết / chút
拚,拚,pàn,biện / phiên / phấn
招,招,zhāo,thiêu / thiều / chiêu
拞,拞,dǐ,khua / khêu
括,括,kuò,quát / hoạt
拊,拊,fǔ,phụ / phu
拌,拌,bàn,phan / bạn / bắn
拍,拍,pāi,phách / phếch
拐,拐,guǎi,quái / quải / quảy / quầy
拑,拑,qián,kiềm / cùm
拒,拒,jù,cự / củ
拓,拓,tà,tháp / thác
拔,拔,bá,bạt / bội
抬,抬,tái,đài / sĩ
抵,抵,dǐ,chỉ / để
抶,抶,chì,sất / thắt
拂,拂,fú,phất / phật / bật
拄,拄,zhǔ,trụ / chủ
担,担,dān,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
拈,拈,niān,niêm / chêm
拉,拉,lā,lạp / lấp
捺,捺,nà,nại / nài
捻,捻,niǎn,niệm / nạm / niệp
捽,捽,zuó,tốt / lót
掀,掀,xiān,hân / hiên
掂,掂,diān,điêm / giếm
掇,掇,duō,xuyết / suốt
掉,掉,diào,điệu / trao / trạo
掊,掊,póu,bồi / bẫu / phẩu
捕,捕,bǔ,bộ / bõ
捥,捥,wàn,oản / uốn
捧,捧,pěng,bổng / phủng
捩,捩,liè,lệ / liệt
据,据,jù,cư / cứ
捱,挨,ái,nhai / nhay
捲,卷,juǎn,quyền / quyển / cuốn
捷,捷,jié,tiệp / thiệp
挹,挹,yì,ấp / úp
挼,挼,ruá,nuôi / noa / nối / nổi / nỗi / noi / nhôi / nôi
挾,挟,xié,tiệp / hiệp / xáp
捃,捃,jùn,khuân / quấn
捌,捌,bā,bát / bịt
捍,捍,hàn,hãn / cản
捎,捎,shāo,sao / siếu
捐,捐,juān,quyên / quen / quên
挌,挌,gé,cách / gác / rắc
挐,挐,ná,noa / nư
挑,挑,tiāo,thao / thiêu / thiểu / vẹo
挨,挨,āi,ai / ải
挪,挪,nuó,na / ná
挫,挫,cuò,tỏa / doạ
振,振,zhèn,chân / chấn
挵,挵,nòng,phan / lỏng
搊,搊,chōu,so / xâu
損,损,sǔn,tốn / tổn
搏,搏,bó,bác / vác
搒,搒,bàng,bang / bãng
搓,搓,cuō,tha / sai
搔,搔,sāo,tao / trảo / trao
搖,摇,yáo,diêu / gieo
搗,捣,dǎo,đảo / đẽo
揖,揖,yī,ấp / ập
揠,揠,yà,yển / yết
揣,揣,chuāi,tuy / đoàn / sủy
揩,揩,kāi,giai / khai
揲,揲,dié,điệp / thiệt
援,援,yuán,viên / viện
搆,搆,gòu,câu / cấu
搉,搉,què,xác / giác
措,措,cuò,trách / thố
掮,掮,qián,kiên / khiêng
揀,拣,jiǎn,giản / luyến / gióng
揆,揆,kuí,quỹ / quẫy
揉,揉,róu,nhu / nhụ
提,提,tí,đề / để / thì
插,插,chā,sáp / tráp / chắp
揕,揕,zhèn,chấm / chạm
掎,掎,jǐ,ky / ỷ / kỷ
掛,挂,guà,quải / quẩy
掠,掠,lüè,lược / lướt
採,采,cǎi,thái / thải
探,探,tàn,tham / thám
掣,掣,chè,xiết / xế
推,推,tuī,thôi / suy
掩,掩,yǎn,yểm / ém
撩,撩,liāo,liêu / liệu / lêu
撫,抚,fǔ,phủ / mô / vỗ
播,播,bō,bá / bả / vá
撰,撰,zhuàn,chuyển / soạn / tuyển
撲,扑,pū,bạc / phác / vục
擁,拥,yōng,ung / ủng / dùng
擂,擂,léi,lôi / lụy
擅,擅,shàn,thiện / chen
撏,挦,xián,tầm / triêm
撐,撑,chēng,xênh / xanh
撒,撒,sā,tản / tát
撓,挠,náo,nạo / nhéo
撕,撕,sī,tê / ty
撚,撚,niǎn,nhiên / niễn / niên
撟,挢,jiǎo,kiều / kiểu / kiệu / kéo
撣,掸,dǎn,đàn / đạn
摧,摧,cuī,tỏa / tồi
摳,抠,kōu,khu / khua
摶,抟,tuán,chuyên / đoàn
摹,摹,mó,mô / mò
摺,折,zhé,lạp / triệp / dập
摽,摽,biào / biāo,phiếu / phiêu
撅,撅,juē,quyết / quệ / quyệt / quét
撈,捞,lāo,lao / liệu / lau
搜,搜,sōu,sưu / sảo
搥,搥,chuí,đôi / trùy
搦,搦,nuò,nhược / nạch
搬,搬,bān,bàn / ban / bưng
搭,搭,dā,đáp / đắp
搶,抢,qiǎng,thương / thưởng / thướng
摑,掴,guāi,quặc / quách
摟,搂,lǒu,lâu / lùa
收,收,shōu,thu / thú
放,放,fàng,phỏng / phóng
政,政,zhèng,chánh / chính
敎,教,jiào,giao / giáo
敖,敖,áo,ngao / ngạo / ngào
敢,敢,gǎn,cảm / cám
散,散,sàn,tản / tán
敦,敦,dūn,đôn / đôi / độn / đối
攖,撄,yīng,anh / oanh
攘,攘,rǎng,nhưỡng / nhường / nhương.
攙,搀,chān,sam / sọm
攝,摄,shè,nhiếp / nhép
攢,攒,zǎn,toản / toàn
攣,挛,luán,luyến / luyên
攤,摊,tān,than / nặn
攮,攮,nǎng,nện / nãng
擯,摈,bìn,thấn / bấn
擱,搁,gē,các / gác
擴,扩,kuò,khoáng / quẳng / khoách
擺,摆,bǎi,bãi / bẫy
擿,擿,tī,thích / trích
攀,攀,pān,phan / phàn
攄,摅,shū,sư / lựa
攔,拦,lán,lan / dan
操,操,cāo,thao / tháo
擔,担,dān,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擗,擗,pǐ,tịch / phích / bịch
擘,擘,bò,phách / bịch
據,据,jù,cứ / cớ
擠,挤,jǐ,tê / tễ
擦,擦,cā,sát / xát
擭,擭,wò,hoạch / hộ / oách
昆,昆,kūn,côn / con
易,易,yì,dịch / dị
昫,昫,xù,hu / hú
時,时,shí,thì / thời
晟,晟,chéng,thịnh / thạnh
晤,晤,wù,ngộ / cữ
晦,晦,huì,hối / hổi
晳,晳,xī,triết / chế
旁,旁,páng,bàng / banh / bạng / phang
旂,旗,qí,kì / cờ
旄,旄,máo,mạo / mao
旗,旗,qí,kỳ / cờ
旛,旛,fān,phan / phướn
旬,旬,xún,quân / tuần
旭,旭,xù,húc / hóc
旰,旰,gàn,hãn / cán
斠,斠,jiào,các / dác
斡,斡,wò,quản / oát
斤,斤,jīn,cấn / cân
斥,斥,chì,xích / xịch
斧,斧,fǔ,phủ / búa
斷,断,duàn,đoạn / đoán
於,于,yú,ô / ư
施,施,shī,thi / dị / thí / thỉ
數,数,shù,xúc / sác / số / sổ
敻,敻,xiòng,quýnh / huyến
斁,斁,yì,dịch / đố
斂,敛,liǎn,liễm / liệm
文,文,wén,văn / vấn
斗,斗,dòu / dǒu,đẩu / đấu
料,料,liào,liêu / liệu
斜,斜,xié,gia / tà
杆,杆,gān,can / cơn
李,李,lǐ,lý / lí
杓,杓,biāo / sháo,tiêu / thược
杕,杕,dì,đại / đệ
杖,杖,zhàng,tráng / trượng
束,束,shù,thú / thúc / thút
杠,杠,gàng,giang / gông
